情感分数 = -19.865002	يېغىرىمنى=N=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=A=يوق تىلەمچى=A=تىلەمچى يوق=A=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -9.150001	ئۆلمىسەكلا=N=ئۆل ئاجايىپ=A=ئاجايىپ ئىشلارنى=N=ئىش كۆرمىز=N=كۆرمىز بىر=M=بىر ئاكاڭزىغا=N=ئاكاڭزا دەردىمنى=N=دەرد ئېيتىپتىمەن=N=ئېيت ،=V=، ئۇ=P=ئۇ ئادەممۇ=N=ئادەم بىر=M=بىر باشلاپ=V=باشلا كەتتى=V=كەت ،=V=، ئۇنى=P=ئۇن ئەمدى=D=ئەمدى كۆرۋاتقاندەك=N=كۆر ،=V=، ئۆزۈمنىڭ=P=ئۆز تېخى=D=تېخى كىرمىگەن=V=كىر تۆشۈكنىڭ=N=تۆشۈك جىقلىقىنى=N=جىق ھىس=N=ھىس قىلدىم=V=قىل ،=N=، تېخى=D=تېخى كىچىككەنمەن=N=كىچىك ،=N=، سىرتىغا=N=سىرت قاراپ=V=قارا ئادەمگە=N=ئادەم باھا=N=باھا بەرگىلى=V=بەر بولمايدىكەن=V=بول جۇمۇ=T=جۇمۇ ،=N=، سەزگۈ=N=سەزگۈ دېگەنمۇ=V=دە خاتا=A=خاتا نەسىكەن=N=نەرسە
情感分数 = -9.005001	نۇرغۇن=A=نۇرغۇن ۋاقىتلاردا=N=ۋاقىت بولۇپمۇ=R=بولۇپمۇ مۇشۇنداق=P=مۇشۇنداق تارىخىي=A=تارىخىي خارەكتېرلىك=N=خارەكتېرلىك ياخشى=A=ياخشى ئىشلار=N=ئىش بولغاندا=V=بول بەزىلەرنىڭ=P=بەزى قىلمىشى=N=قىلمىش شۇنداق=P=شۇنداق ئۈمىدكە=N=ئۈمىد تولغان=V=تول يۈرەككە=N=يۈرەك بەك=D=بەك ئازار=A=ئازار بېرىدىكەن=V=بەر ئۇلۇغ=A=ئۇلۇغ ئاللا=N=ئاللا مىللىتىمىز=N=مىللەت ئۈچۈن=R=ئۈچۈن جاپا=A=جاپا چېكىۋاتقان=V=چەك بۇ=P=بۇ كىشىلىرىمىزنىڭ=N=كىشى قەلبىنى=N=قەلب بۇنداق=P=بۇنداق زەرەرلەردىن=A=زەرەر يىراق=A=يىراق قىلسۇن=V=قىل !=N=!
情感分数 = -9.0	يەنى=R=يەنى ،=N=، كىشىلىرىمىزدىكى=N=كىشى قىممەت=A=قىممەت قاراشلىرى=V=قاراش بىر=M=بىر بىرىگە=M=بىرى زىت=A=زىت ئەھۋاللار=N=ئەھۋال بەك=D=بەك ئېغىر=A=ئېغىر .=N=.
情感分数 = -9.0	نېمانداق=P=نېمانداق قىلىدۇ=V=قىل ما=N=ما خەق=N=خەق ،=V=، ئەمدى=D=ئەمدى ھېيتگاھ=N=ھېيتگاھ ئالدىدا=N=ئالدى قىلمىغان=V=قىل مۇشۇ=P=مۇشۇ قالغان=V=قال ،=N=، ئۇيغۇرلارمۇ=N=ئۇيغۇر باركەن=A=بار تېخى=D=تېخى ،=N=، قەشقەرلىك=N=قەشقەر يۇرتداشلار=N=يۇرتداش بەك=D=بەك يۇۋاش=N=يۇۋاش بوپكەتتىمۇ=V=بول نېمە=P=نېمە ؟=V=؟
情感分数 = -9.0	ۋوي=N=ۋوي ۋوي=N=ۋوي ما=N=ما دىگەن=V=دە گۈدۈكچىنىڭ=N=گۈدۈك ھەجەپ=N=ھەجەپ ئاچچىغى=N=ئاچچىق يامانكەن=A=يامان دىسە=N=دىسە ،=N=، چاقچاق=N=چاقچاق قىپ=V=قىل قويسام=V=قوي ،=N=، سېسىق=A=سېسىق گەپ=N=گەپ قىلىپ=V=قىل كۆمىۋەتتىغۇ=N=كۆم مىنى=N=مەن
情感分数 = -9.0	گۈدۈك=N=گۈدۈك نىمىشقا=P=نىمىشقا چىكىنىپ=V=چىكىن چىكىتىدۇ=V=چىكەت بەك=D=بەك جىلە=A=جىلە بولدۇم=V=بول !=N=!
情感分数 = -8.865002	بىز=P=بىز شۇنداق=P=شۇنداق ساراڭ=A=ساراڭ بايۋەتچىلەرگە=N=بايۋەتچە ئايلاندۇقكى=N=ئايلان بايلىقلىرىمىزنى=N=بايلىق رېستوراننىڭ=N=رېستوران سولياۋ=N=سولياۋ داستىخانلىرىغا=N=داستىخان ئوراپ=V=ئورا بىراقلا=D=بىراقلا ئەخلەتكە=N=ئەخلەت تاشلايدىغان=V=تاشلا بولدۇق=V=بول
情感分数 = -8.860001	باشقىلارنىڭ=A=باشقا ئەيىپى=N=ئەيىپ بىلەن=R=بىلەن سېنىڭ=P=سەن ھىچقانداق=V=ھىچقانداق ئالاقەڭ=N=ئالاقە يوق=A=يوق ،=V=، شۇنداق=P=شۇنداق بولغان=V=بول ئىكەن=V=ئىكەن نېمە=P=نېمە دەپ=V=دە ئۇنى=P=ئۇن ئېچىش=V=ئاچ بىلەن=R=بىلەن ئۆزەڭنى=N=ئۆزە ئاۋارە=N=ئاۋارە قىلىسەن=V=قىل !=N=!
情感分数 = -8.860001	ئىراق=N=ئىراق ھازىرغا=M=ھازىر قەدەر=D=قەدەر قالايمىقانچىلىق=A=قالايمىقان ئىچىدە=N=ئىچ تۇرۇۋاتىدۇ=V=تۇر چىسلادىكى=N=چىسلا بىر=M=بىر نۆۋەتلىك=A=نۆۋەت پارتلاش=V=پارتلا ۋەقەسى=N=ۋەقە ئىراق=N=ئىراق ئۇرۇشىدىن=N=ئۇرۇش كېيىنكى=A=كېيىنكى نەچچە=D=نەچچە مىليون=M=مىليون ئۆلگۈچىلەر=N=ئۆلگۈچى تىزىملىكىگە=N=تىزىملىك يەنە=R=يەنە كىشىنىڭ=N=كىشى ئىسمىنى=N=ئىسم قوشتى=V=قوش
情感分数 = -8.860001	مەن=P=مەن گۈدۈككە=V=گۈدۈك تېزىملاتتىم=N=تېزىملا لېكىن=R=لېكىن يېرىم=A=يېرىم سائەتمۇ=N=سائەت زىيارەت=N=زىيارەت قىلالمىدىم=V=قىل چېكىنىپ=N=چېكىن كىتىپ=N=كەت خاپا=A=خاپا قىلدى=V=قىل قانداق=P=قانداق قىلسام=V=قىل بولىدۇ=V=بول
情感分数 = -8.860001	ھاممام=N=ھاممام دېگەن=V=دە دوزىخىي=N=دوزاخ خىرىستىياننىڭ=N=خىرىستىيان ،=N=، چوڭ=A=چوڭ تاغام=N=تاغا دېگەن=V=دە قارانىيەت=A=قارانىيەت خىيانەتچىنىڭ=N=خىيانەت ،=N=، 3=N=3 تاغام=N=تاغا دېگەن=V=دە يالغانچى=N=يالغانچى كاززاپنىڭ=A=كاززاپ كۆرىدىغىنى=N=كۆر بار=A=بار !=N=!
情感分数 = -8.860001	باشقىلارنىڭ=A=باشقا ئەرزىمەس=A=ئەرزىمەس ئىشلىرى=N=ئىش ئۈچۈن=R=ئۈچۈن رەنجىپ=V=رەنجى ئىچىنى=N=ئىچ ئاچچىق=A=ئاچچىق قىلىش=V=قىل خۇددى=P=خۇددى زەھەرنى=N=زەھەر ئۆزى=P=ئۆز ئىچىپ=V=ئىچ باشقىلارنى=A=باشقا ئۆلسۇن=V=ئۆل دېگەندەكلا=V=دە بىر=M=بىر ئىش=N=ئىش
情感分数 = -8.860001	گۈدۈك=N=گۈدۈك تولا=N=تولا ئۆچۈپ=V=ئۆچ ئالدىنقى=A=ئالدى قىتىم=N=قېتىم ئۆچۈپ=V=ئۆچ قالغاندا=V=قال چۈشۈرمەي=V=چۈش 2=N=2 ئاي=N=ئاي ئوينىمىغان=N=ئوينا ئىدىم=V=ئىد يەنە=D=يەنە قايتا=D=قايتا چۈشۈرۈپ=V=چۈش ئويناپ=V=ئوينا باقاي=V=باق دىسەم=N=دىسە ئۆچۈۋىلىش=N=ئۆچۈر ئادىتى=N=ئادات ئۆزگەرمەپتۇ=V=ئۆزگەر يەنە=D=يەنە داۋاملىق=A=داۋاملىق ئۆچىۋالسا=N=ئۆچ ئەمدى=D=ئەمدى قايتا=D=قايتا چۈشۈرمەيمەن=V=چۈش ،=N=، زىرىكتىم=N=زىرىك .=N=.
情感分数 = -8.575001	ھەر=P=ھەر يىلى=N=يىل مۇشۇنداق=P=مۇشۇنداق ۋاقىتتا=N=ۋاقىت بىلەت=N=بىلەت ئالالماي=V=ئال ئەجەپ=D=ئەجەپ قىينىلىمەن=V=قىيىن تازا=D=تازا ئۆچ=A=ئۆچ بولدۇم=V=بول
情感分数 = -8.57	گۈدۈكتە=N=گۈدۈك قېقىلىپ=V=قېىقىل سوقۇلۇپ=V=سوقۇل يۈرگىلى=V=يۈر بىر=M=بىر نەچچە=P=نەچچە ئاي=N=ئاي بوپتۇ=V=بول گەپنىڭ=N=گەپ سازلىرىنى=A=ساز تاپالمىغاچقا=V=تاپ گۈدۈك=N=گۈدۈك چېلىشتىن=V=چېلىش ئىزا=N=ئىزا تارتىۋاتىمەن=V=تارت سىلەردىمۇ=P=سىلەر مۇشۇنداق=P=مۇشۇنداق كېسەللىك=A=كېسەل ئەھۋالى=N=ئەھۋال بارمۇكەن=V=بار ؟=N=؟
情感分数 = -8.435	قىزىم=N=قىز بەك=D=بەك قورقۇپ=V=قورق كەتتى=V=كەت ،=N=، نىمانچە=N=نىمان نۇمۇسسىز=N=نۇمۇسسىز خەقتۇ=V=خەق بۇ=P=بۇ ،=V=، كېچىدە=N=كېچە باشقىلارنى=A=باشقا ئۇخلاتماي=V=ئۇخلا .=N=.
情感分数 = -8.43	كەچۈرۈڭ=V=كەچۈر تۈركچىنى=N=تۈرك ياخشى=A=ياخشى بىلمەيتتىم=V=بىل دېسەم=V=دە چىرايىمغا=A=چىراي بىر=M=بىر قارىۋېتىپ=V=قارا تىللاپ=V=تىللا كەتكەنتى=V=كەت
情感分数 = -8.43	دۇنيادا=N=دۇنيا كىشىنى=N=كىشى ئەڭ=D=ئەڭ ھاردۇردىغان=V=ھار ئىش=N=ئىش ئالدىغا=N=ئالدى باسمىغان=V=باس ساختىلىق=A=ساختا بىلەن=R=بىلەن كۈن=N=كۈن كەچۈرۈشتۇر=V=كەچۈر
情感分数 = -8.43	ھەرپ=N=ھەرپ سانىغا=N=سان بولغان=V=بول چەكلىمە=A=چەكلىمە بەك=D=بەك قاتتىق=A=قاتتىق بولۇپ=V=بول كەتتىمۇ=V=كەت ؟=N=؟
情感分数 = -8.43	تېلفۇندا=N=تېلفۇن گۈدەككە=N=گۈدەك چىقالماي=V=چىق بەك=D=بەك قىينالدىم=V=قىينا بۇ=P=بۇ زادى=D=زادى نىمە=P=نىمە ئۈچۈن=R=ئۈچۈن !=N=!
情感分数 = -8.43	قاملاشمىغان=V=قاملاش ،=N=، يەنە=D=يەنە ئۆتەلمىدىم=N=ئۆت دېسە=V=دە ،=N=، شوپۇرلۇق=N=شوپۇرلۇق ھەجەپ=N=ھەجەپ تەس=A=تەس بولۇپ=V=بول كېتىپ=V=كەت بارىدۇ=V=بار .=N=.
情感分数 = -8.43	ئەسلىدە=D=ئەسلىدە يىغلاپ=V=يىغلا ئادەم=N=ئادەم قورقۇتۇش=V=قورقۇتۇش ئاجىزلارنىڭ=A=ئاجىز ئىش=N=ئىش ھەل=N=ھەل قىلىشتىكى=V=قىل قۇرالى=N=قۇرال ئىكەن=V=ئىكەن ئەجەبا=T=ئەجەبا بۇنداق=P=بۇنداق كىشىلەر=N=كىشى ئۆزلىرىنىڭ=P=ئۆز ئادەمنى=N=ئادەم قانچىلىك=P=قانچىلىك بىزار=A=بىزار قىلىدىغانلىقىنى=V=قىل ھېس=N=ھېس قىلالمامدىغاندۇ=V=قىل ؟=N=؟
情感分数 = -8.43	ھەي=E=ھەي ،=V=، مۇشۇ=P=مۇشۇ كۈنلەردە=N=كۈن بەك=D=بەك چارچاپ=V=چارچا كىتىپ=N=كەت بارىمەن=V=بار جۇمۇ=T=جۇمۇ
情感分数 = -8.43	كەچ=N=كەچ بولغاندىلا=V=بول گۈدۈكنىڭ=N=گۈدۈك سۈرىتى=N=سۈرەت بەك=D=بەك ئاستىلاپ=V=ئاستىلا كىتىدىكىنا=V=كەت نېمە=P=نېمە سەۋەبتۇ=N=سەۋەب بۇ=P=بۇ ؟=V=؟
情感分数 = -8.43	ئۆگۈنۈش=N=ئۆگۈنۈش  ئۆگۈنۈش=V=ئۆگۈنۈش يەنە=D=يەنە ئۆگۈنۈش=N=ئۆگۈنۈش گەپلىرى=N=گەپ يامان=A=يامان كۈلكىلىك=A=كۈلكىلىك ئىكەن=V=ئىكەن  ئۈچىيىم=N=ئۈچەي ئۈزىلىپ=V=ئۈزۈل كېتەي=V=كەت دېدى=V=دە 
情感分数 = -8.290001	ھېكمەتلەر=N=ھېكمەت گەپ=N=گەپ قىلسا=V=قىل ۋالاقتەگكۈر=A=ۋالاقتەگكۈر دەيدۇ=V=دە گەپ=N=گەپ قىلمىسا=V=قىل مۆرىمەس=A=مۆرىمەس دەيدۇ=V=دە ئۆچكىنىڭ=N=ئۆچكە دائىم=D=دائىم ئىچىلىپ=V=ئاچ تۇرسا=V=تۇر گەپ=N=گەپ يوق=A=يوق قوينىڭ=N=قوي بىر=M=بىر ئىچىلىپ=V=ئاچ قالسا=V=قال ھۇيىتھۇيىت=N=ھۇيىتھۇيىت
情感分数 = -8.29	جەنۇبىي=N=جەنۇب ئامېرىكا=N=ئامېرىكا مۇسۇلمانلىرى=N=مۇسۇلمان ئوباماغا=N=ئوباما تۇتۇش=V=تۇت بۇيرۇقى=N=بۇيرۇق چىقاردى=V=چىق نەچچە=P=نەچچە بەتلىك=N=بەت دوكلاتتا=N=دوكلات ئوبامانىڭ=N=ئوباما ئۇچقۇچىسىز=A=ئۇچقۇچىسىز ئايروپىلان=N=ئايروپىلان بىلەن=R=بىلەن پۇقرالارغا=N=پۇقرا ھۇجۇم=V=ھۇجۇم قىلغان=V=قىل تېرورلۇققا=N=تېرورلۇق قارشى=A=قارشى تۇرۇش=V=تۇر باھانىسىدە=N=باھانە مۇسۇلمانلارنى=N=مۇسۇلمان قىرغىن=A=قىرغىن قىلغان=V=قىل دەپ=V=دە ئەيىپلەندى=V=ئەيىپ شۇنداقلا=R=شۇنداقلا ئەدلىيەلىك=N=ئەدلىيە تەرتىپ=N=تەرتىپ بىلەن=R=بىلەن قولغا=N=قول ئېلىشنى=V=ئال قارار=N=قارار قىلدى=V=قىل
情感分数 = -8.29	ئېشەك=N=ئېشەك جىنىدا=N=جان بىر=M=بىر قېتىم=Q=قېتىم پۇتى=N=پۇت سپىلىپ=V=سال كەتكەن=V=كەت تۆشۈككە=N=تۆشۈك ئىككىنچى=M=ئىككىنچى قېتىم=Q=قېتىم پۇتىنى=N=پۇت تىقمايدۇ=V=تىق لىكىن=R=لىكىن بىز=P=بىز ئىنسانلار=N=ئىنسان نېمىشقا=P=نېمىشقا ئوخشاش=A=ئوخشاش خاتالىقنى=A=خاتالىق تەكرارلاپ=V=تەكرارلا سادىر=N=سادىر قىلىۋرىدىغاندىمىز=V=قىل ؟=N=؟
情感分数 = -8.29	سودا-سانائەت=N=سودا-سانائەت بانكىسدىن=N=بانكا بىجىرگەن=V=بىجىر كارتام=N=كارتا يۈتۈپ=V=يۈت كىتىپ=V=كەت قايتا=D=قايتا بىجىرگىلى=V=بىجىر كىرسەم=V=كىر كارتا=N=كارتا نۇمۇرى=N=نۇمۇر ئالمىشىپ=V=ئالماش كىتىپتۇ=V=كەت بەك=D=بەك ئىچىم=N=ئىچ ئاچچىق=A=ئاچچىق بولدى=V=بول ئالدىنقى=A=ئالدىنقى نۇمۇرۇم=N=نۇمۇر شۇنداق=P=شۇنداق ئاددى=A=ئاددى ئىدى=V=ئىدى ھازىرقىسى=N=ھازىرقى قالايمىغان=A=قالايمىغان نۇمۇرلار=N=نۇمۇر ھەممىسى=P=ھەممە ئاشۇنداق=P=ئاشۇنداق ئەسلى=D=ئەسلى نۇمۇر=N=نۇمۇر ئالمىشىپ=V=ئالماش كىتىدىغان=V=كەت ئىش=N=ئىش بارما=A=بار !=N=!
情感分数 = -8.145	بولدىلا=V=بولدىلا ئۇبۇنتۇدىنمۇ=N=ئۇبۇنتۇ رايىم=N=رايى قايتتى=V=قايت ،=N=، توختىماي=V=توختا ئوبۇنتۇغا=V=ئوبۇنتۇ ئائىت=T=ئائىت نەرسىلەرنى=N=نەرسە كۆردۈم=V=كۆر ،=N=، ۋۇبى=A=ۋۇبى دىمۇ=X=دىمۇ قاچىلىسام=N=قاچىلا خاتالىق=N=خاتا ئۇچۇرى=N=ئۇچۇر چىقىۋىلىپ=N=چىق ئۇبۇنتۇ=N=ئۇبۇنتۇ كۆرۈنمە=N=كۆرۈنمە يۈزىگە=N=يۈزى كىرمىدى=V=كىر ،=N=، پىلاستىكىغىمۇ=N=پىلاستاك ئويۇپ=V=ئوي قاچىلاپمۇ=N=قاچىلا باقتىم=V=باق بولىمىدى=N=بول ،=N=، يۇمشاق=A=يۇمشاق دىسكىغا=N=دىسك ئويۇپ=V=ئوي قاچىلاپمۇ=N=قاچىلاپ باقتىم=V=باق ھەي=E=ھەي ،=V=، ئىشقىلىپ=T=ئىشقىلىپ بەكلا=D=بەك قولايسىزكەن=N=قولايسىز ۋاز=N=ۋاز كەچتىم=V=كەچ !=N=!
情感分数 = -8.005	سەت=A=سەت گەپنى=N=گەپ ئوچۇق=A=ئوچۇق دىيەلمىدىم=V=دە تارقىتايلى=V=تارقات بۇنى=P=بۇ بۇنداق=P=بۇنداق رەسۋالارغا=A=رەسۋا يول=N=يول قويساق=V=قوي كېيىن=D=كېيىن تېخىمۇ=D=تېخىمۇ رەسۋالار=A=رەسۋا چىقىدۇ=V=چىق
情感分数 = -8.0	خانىۋەيران=A=خانىۋەيران بولغىن=V=بول خەلىق=N=خەلىق ۋاي-داتىغا=N=ۋاي-دات ئۈندىداردا=N=ئۈندىدار مۇنبەرلەردە=N=مۇنبەر ھەممە=P=ھەممە يەردە=N=يەردە بالا=A=بالا يۈتتى=V=يۈت بالا=A=بالا يۈتتى=V=يۈت ئىزدەش=V=ئىزدە ئىلانى=N=ئىلان ئۇھ=N=ئۇھ !=N=!
情感分数 = -8.0	بۇنى=P=بۇ مەن=Y=مەن تەرجىمە=N=تەرجىمە قىلىپ=V=قىل چىقىرىپ=V=چىق قويغىنىم=N=قوي يوق=A=يوق پەقەت=D=پەقەت ئۇچىراپ=N=ئۇچىرا قاپتى=N=قال ،=V=، ئۆز=P=ئۆز ئالدىغا=N=ئالد قىلىق=N=قىلىق چىقىردىغان=N=چىق مۇشۇنداق=N=مۇشۇنداق چالا=A=چالا موللاملارغا=N=موللام قارشى=A=قارشى گەپ=N=گەپ قىلىپ=V=قىل قويدۇم=V=قوي خالاس=T=خالاس !=N=!
情感分数 = -8.0	بىزدىكى=P=بىز بۇنداق=P=بۇنداق ناتوغرا=A=ناتوغرا رىقابەت=N=رىقابەت قاچان=P=قاچان تۈگە=N=تۈگە ھەي=E=ھەي
情感分数 = -8.0	تاپقان=V=تاپ ھارام=A=ھارام مال-دۇنيارىڭ=N=مال-دۇنيا ئاخىرەتتە=N=ئاخىرەت پوققا=N=پوق ئەسقاتمايدۇ=V=ئەسقات ،=N=، ئەكىسچە=V=ئەكىسچە سېنى=P=سەن كۆيدۈرىدىغان=V=كۆي دوزاخ=N=دوزاخ ئوتىغا=N=ئوت تۇتۇرۇق=N=تۇتۇرۇق بولىدۇ=V=بول خالاس=T=خالاس .=N=.
情感分数 = -7.8600006	كېچىدىن=N=كېچە تا=R=تا ھازىرغىچە=D=ھازىر چىقىۋاتقان=V=چىق بوراننىڭ=N=بوران دەستىدىن=N=دەستى ئارام=N=ئارام ئېلىشنىڭ=V=ئال ياخشى=A=ياخشى بولمىغاننىڭ=N=بول ئۈستىگە=N=ئۈستىگە ،=N=، توپلىشىپ=V=توپلاش تۇرغانلىقلىرى=N=تۇر باھانە=N=باھانە بولغانلىق=V=بول سەۋەبلىك=A=سەۋەبلىك مەدىكار=N=مەدىكار بازىرىدىن=N=بازار قوغلىنىۋاتقان=N=قوغلان قېرىنداشلىرىمنى=N=قېرىنداش كۆرۈپ=V=كۆر كۆڭلۈم=N=كۆڭۈل تېخىمۇ=D=تېخىمۇ بىرقىسما=N=بىرقىسما بولۇپ=V=بول قالدى=V=قال ،=N=، نۇرغۇنلار=V=نۇرغۇن مۇشۇ=P=مۇشۇ يەردە=N=يەردە كۈنلۈك=A=كۈنلۈك ئىش=N=ئىش تېپىپ=V=تاپ ئۆيدىكى=N=ئۆي نەچچە=P=نەچچە جاننى=N=جان باقىدۇ=V=باق .=N=.
情感分数 = -7.8600006	ئەي=E=ئەي پەلەك=N=پەلەك بۇ=P=بۇ دەھشىتىڭدىن=A=دەھشەت ئىنتىھا=N=ئىنتىھا بىزارىمەن=A=بىزار
情感分数 = -7.8600006	كۆزىگە=N=كۆز شەرمى=N=شەرمى ھايالىق=A=ھايالىق قىزلىرىمىز=N=قىز تىرىشىچان=A=تىرىشىچان ئىجتىھاتلىق=A=ئىجتىھاتلىق يىگىتلىرىمىز=N=يىگىت كۆرۈنمەي=V=كۆر مىڭنىڭ=M=مىڭ ئىچىدىن=N=ئىچ بىرى=M=بىرى چىقىپ=V=چىق قالىدىغان=V=قال داشقاللارلا=A=داشقال كۆرۈنەمدىكىن=V=كۆرۈن بۇ=P=بۇ خەقنىڭ=N=خەق دەپ=V=دە قوياي=V=قوي ئۇيغۇردا=N=ئۇيغۇر ئىللەت=A=ئىللەت يوق=A=يوق ئىللەت=N=ئىللەت پەقەت=D=پەقەت بىر=M=بىر قىسىم=N=قىسىم كىشىلەردە=N=كىشى خالاس=Y=خالاس
情感分数 = -7.8600006	پەيغەمبىرىمىز=N=پەيغەمبەر شۇنداق=P=شۇنداق ئېيتىپتىكەن=V=ئېيت بىر=M=بىر خاتا=A=خاتا ئىشنى=N=ئىش كۆرگەن=V=كۆر كىشى=N=كىشى ئۇنى=P=ئۇ توسسۇن=V=توس ھەرىكىتى=N=ھەرىكەت بىلەن=R=بىلەن توسالمىسا=V=توس تىلى=N=تىل بىلەن=R=بىلەن توسسۇن=V=توس تىلى=N=تىل بىلەن=R=بىلەن توسالمىسا=V=توس دىلى=N=دىل بىلەن=R=بىلەن نارازى=A=نارازى بولسۇن=V=بول ئۇنىمۇ=P=ئۇ قىلالمىسا=V=قىل شۇ=P=شۇ خاتا=A=خاتا ئىش=N=ئىش بولۇنىۋاتقان=V=بول جايدىن=N=جاي كەتسۇن=V=كەت مەن=P=مەن قانداقتۇر=P=قانداق ئۆزۈمنى=P=ئۆز بىلەرمەن=A=بىلەرمەن چاغلاپ=V=چاغلا بۇ=P=بۇ گەپلەرنى=N=گەپ دېمەيۋاتىمەن=V=دە
情感分数 = -7.86	ئاق=A=ئاق بۈركۈتتە=N=بۈركۈت ياشىماق=V=ياشا بەك=D=بەك تەس=A=تەس بوپ=V=بول كەتتىمۇ=V=كەت نىمە=P=نىمە ؟=V=؟
情感分数 = -7.86	پالانى=P=پالانى خەلق=N=خەلق ئۇ=P=ئۇ يېزىققا=V=يېزىققا كۆچۈپتۇ=N=كۆچ ،=V=، بىزمۇ=P=بىز كۆچىلى=V=كۆچ دېگەن=V=دە قاراش=V=قارا نېمىدىگەن=V=نېمە ھاماقەتلىك=N=ھاماقەت .=N=.
情感分数 = -7.7200007	ھاراق=N=ھاراق ئۇيغۇرغا=N=ئۇيغۇر ئاز=A=ئاز بولمىغان=V=بول دەرت=N=دەرت ئەلەمنى=N=ئەلەم ،=N=، ئەخلاقى=N=ئەخلاق پاساتچىلىقنى=N=پاسات ،=N=، روھىي=A=روھىي يوقىتىشلارنى=V=يوقات ۋە=R=ۋە مىللەت=N=مىللەت ئىچىدىكى=N=ئىچ زىديەتلەرگە=N=زىديەت سەۋەپ=N=سەۋەپ بولدى=V=بول
情感分数 = -7.7200003	ئاقنىڭ=N=ئاق ئازابى=N=ئازاب كىرلىشىش=V=كىر قارىنىڭ=N=قارا ئازابى=N=ئازاب بولسا=V=بول ئەيىبلىنىشتۇر=N=ئەيىب !=N=!
情感分数 = -7.7200003	قاچانلا=P=قاچان قارىسا=V=قارا قاقشاپ=V=قاقشا ،=N=، زارلاپ=V=زارلا يۈرگەن=V=يۈر ،=N=، قىلىدىغانغا=N=قىل باشقا=A=باشقا ئىش=N=ئىش يوقمىدۇ=A=يوق ؟=N=؟
情感分数 = -7.5800004	بىلىمسىز=A=بىلىمسىز ئادەملەردە=N=ئادەم غەم=N=غەم قايغۇ=N=قايغۇ بولمايدۇ=V=بول ،=N=، چۈنكى=R=چۈنكى ئۇلار=P=ئۇلار تىرىكلەر=V=تىرىك ئارىسىدىكى=N=ئاراسى ئۆلۈكلەردۇر=N=ئۆلۈك ،=V=، ئۇلار=P=ئۇلار قارنى=N=قارنى تويسىلا=V=توي شۇنىڭغا=P=شۇ قانائەت=N=قانائەت قىلىدۇ=V=قىل ،=N=، بىلىملىك=A=بىلىم ئادەملەرنىڭ=N=ئادەملەر خۇشال=A=خۇشال چاغلىرى=N=چاغ ناھايىتى=D=ناھايىتى ئاز=A=ئاز ،=N=، غەم=N=غەم قايغۇدىكى=N=قايغۇ چاغلىرى=N=چاغ ناھايىتى=D=ناھايىتى كۆپ=A=كۆپ ،=V=، بۇ=P=بۇ دۇنيادىكى=N=دۇنيا ناھەقچىلىقلەردىن=V=ناھەق ئۇلارنىڭ=P=ئۇلار مەڭزى=N=مەڭز قانداقمۇ=P=قانداق كۈلسۇن=V=كۈل .=N=.
